Mine Name: 3 M Corona Plant,,,
Likelihood Category,Citation Count,Total Citations,Percent (%)
UNLIKELY,15,19,78.95
REASONABLY_LIKELY,4,19,21.05
,,,
Mine Name: Wausau Plant,,,
Likelihood Category,Citation Count,Total Citations,Percent (%)
UNLIKELY,16,21,76.19
REASONABLY_LIKELY,2,21,9.52
NO_LIKELIHOOD,3,21,14.29
,,,
Mine Name: 3 M Little Rock Industrial Mineral Prod,,,
Likelihood Category,Citation Count,Total Citations,Percent (%)
REASONABLY_LIKELY,13,35,37.14
UNLIKELY,22,35,62.86
,,,
Mine Name: Greystone Plant,,,
Likelihood Category,Citation Count,Total Citations,Percent (%)
REASONABLY_LIKELY,5,21,23.81
UNLIKELY,14,21,66.67
NO_LIKELIHOOD,2,21,9.52
