Mine Name: 3 M Corona Plant,,,
Likelihood Category,Citation Count,Total Citations,Percent (%)
REASONABLY_LIKELY,4,8,50
UNLIKELY,4,8,50
,,,
Mine Name: Wausau Plant,,,
Likelihood Category,Citation Count,Total Citations,Percent (%)
UNLIKELY,7,9,77.78
REASONABLY_LIKELY,1,9,11.11
NO_LIKELIHOOD,1,9,11.11
,,,
Mine Name: 3 M Little Rock Industrial Mineral Prod,,,
Likelihood Category,Citation Count,Total Citations,Percent (%)
REASONABLY_LIKELY,13,35,37.14
UNLIKELY,22,35,62.86
,,,
Mine Name: Greystone Plant,,,
Likelihood Category,Citation Count,Total Citations,Percent (%)
UNLIKELY,7,13,53.85
NO_LIKELIHOOD,2,13,15.38
REASONABLY_LIKELY,4,13,30.77
