Mine Name: 3 M Corona Plant,,,
Negligence Category,Citation Count,Total Citations,Percent (%)
HIGH,1,19,5.26
MODERATE,4,19,21.05
LOW,14,19,73.68
,,,
Mine Name: Wausau Plant,,,
Negligence Category,Citation Count,Total Citations,Percent (%)
MODERATE,16,21,76.19
LOW,5,21,23.81
,,,
Mine Name: 3 M Little Rock Industrial Mineral Prod,,,
Negligence Category,Citation Count,Total Citations,Percent (%)
MODERATE,35,35,100
,,,
Mine Name: Greystone Plant,,,
Negligence Category,Citation Count,Total Citations,Percent (%)
MODERATE,18,21,85.71
HIGH,3,21,14.29
