Mine Name: 3 M Corona Plant,,,
Negligence Category,Citation Count,Total Citations,Percent (%)
MODERATE,1,8,12.5
LOW,7,8,87.5
,,,
Mine Name: Wausau Plant,,,
Negligence Category,Citation Count,Total Citations,Percent (%)
MODERATE,4,9,44.44
LOW,5,9,55.56
,,,
Mine Name: 3 M Little Rock Industrial Mineral Prod,,,
Negligence Category,Citation Count,Total Citations,Percent (%)
MODERATE,35,35,100
,,,
Mine Name: Greystone Plant,,,
Negligence Category,Citation Count,Total Citations,Percent (%)
MODERATE,10,13,76.92
HIGH,3,13,23.08
