Mine Name: 3 M Corona Plant,,,
Severity Category,Citation Count,Total Citations,Percent (%)
PERMANENTLY_DISABLING,2,8,25
LOST_WORKDAYS_OR_RESTRICTED_DUTY,4,8,50
FATAL,2,8,25
,,,
Mine Name: Wausau Plant,,,
Severity Category,Citation Count,Total Citations,Percent (%)
PERMANENTLY_DISABLING,3,9,33.33
LOST_WORKDAYS_OR_RESTRICTED_DUTY,1,9,11.11
FATAL,4,9,44.44
NO_LOST_WORKDAYS,1,9,11.11
,,,
Mine Name: 3 M Little Rock Industrial Mineral Prod,,,
Severity Category,Citation Count,Total Citations,Percent (%)
LOST_WORKDAYS_OR_RESTRICTED_DUTY,26,35,74.29
FATAL,4,35,11.43
PERMANENTLY_DISABLING,5,35,14.29
,,,
Mine Name: Greystone Plant,,,
Severity Category,Citation Count,Total Citations,Percent (%)
LOST_WORKDAYS_OR_RESTRICTED_DUTY,8,13,61.54
NO_LOST_WORKDAYS,2,13,15.38
PERMANENTLY_DISABLING,1,13,7.69
FATAL,2,13,15.38
