Section,Field Office,Month Year,District,County,Violations
Citation By Field Office,,,,,
,San Bernardino CA Field Office,Jan 2025,M7,Riverside,8
,San Bernardino CA Field Office,Feb 2025,M7,Riverside,3
,San Bernardino CA Field Office,Apr 2025,M7,Riverside,1
,San Bernardino CA Field Office,Aug 2025,M7,Riverside,6
,Marquette MI Field Office,Jan 2025,M4,Marathon,12
,Marquette MI Field Office,Feb 2025,M4,Marathon,13
,Marquette MI Field Office,Jul 2025,M4,Marathon,17
,Little Rock AR Field Office,Jun 2025,M5,Pulaski,34
,,,,,
