Year,Quarter,Part Section,Citation Count
2025,Q1,56.4200(b)(1),1
2025,Q1,56.4201(a)(2),1
2025,Q1,56.13021,1
2025,Q1,56.12008,2
2025,Q1,56.12004,3
2025,Q1,56.20003(a),8
2025,Q1,56.18002(a),2
2025,Q1,56.14100(c),1
2025,Q1,50.30(a),4
2025,Q1,56.12018,2
2025,Q1,56.14100(b),1
2025,Q1,56.14112(b),1
2025,Q1,56.12034,1
2025,Q1,56.11004,1
2025,Q1,56.13020,1
2025,Q1,56.12002,1
2025,Q1,56.4102,1
2025,Q1,56.4603(c),1
2025,Q1,56.5001(a)/.5005,1
2025,Q1,56.11027,1
2025,Q1,56.14107(a),1
2025,Q2,56.20003(a),9
2025,Q2,56.20003(b),2
2025,Q2,56.4200(b)(2),1
2025,Q2,56.14112(a),1
2025,Q2,56.11012,2
2025,Q2,56.11002,1
2025,Q2,56.12018,4
2025,Q2,56.14107(a),1
2025,Q2,56.12004,1
2025,Q2,56.12032,2
2025,Q2,56.4201(a)(2),1
2025,Q2,56.13021,1
2025,Q2,56.14112(b),2
2025,Q2,56.14100(b),1
2025,Q2,56.4402,2
2025,Q2,56.4104(a),2
2025,Q2,56.12008,1
2025,Q2,56.14132(a),1
2025,Q3,56.20003(a),6
2025,Q3,56.14107(a),2
2025,Q3,56.11003,1
2025,Q3,56.3200,2
2025,Q3,56.12034,1
2025,Q3,56.12028,1
2025,Q3,56.12004,2
2025,Q3,41.12,1
2025,Q3,56.14112(b),1
2025,Q3,56.18002(a),1
2025,Q3,56.11001,1
2025,Q3,56.20003(b),1
2025,Q3,56.12032,1
2025,Q3,56.12030,1
2025,Q3,56.4201(a)(1),1
